H1S1V1,H1S2V1,H1S3V1,H2S1V1,H2S2V1,H2S3V1,H3S1V1,H3S2V1,H3S3V1,H1S1V2,H1S2V2,H1S3V2,H2S1V2,H2S2V2,H2S3V2,H3S1V2,H3S2V2,H3S3V2,H1S1V3,H1S2V3,H1S3V3,H2S1V3,H2S2V3,H2S3V3,H3S1V3,H3S2V3,H3S3V3,name
1058691,89577,476092,847,872,73,13423,20368,69,883110,249355,134543,0,548,17720,3137,14135,16220,667,160022,217446,0,0,0,0,0,18061,Spike_134
644066,11188,457503,211,753,32,11433,20010,38,1495498,109723,98388,584,617,17292,8020,9642,17031,914,287657,166765,0,0,0,0,0,17611,Spike_370
4941,4328,578561,156,972,68,188,27190,53,1574351,158818,164097,39,21281,2644,22241,1393,11938,330763,231317,215704,0,0,0,0,0,23933,Spike_616
72558,54784,443143,170,563,0,211,21904,12,1474121,619089,117265,13,15471,4390,18531,811,16033,85,302331,194034,0,0,0,0,0,19457,Spike_477
450968,9131,455429,192,751,40,9463,19481,12,1707570,75619,96004,696,681,17268,12264,6042,17047,1098,319206,158400,0,0,0,0,0,17614,Spike_404
520022,7450,470040,333,617,0,12065,10871,12,1722972,75304,112636,47,925,17958,17968,10976,17814,2020,171428,184993,0,0,0,0,2,18523,Spike_30
716023,9149,451804,3034,985,15,26129,18568,25,1441350,45034,94859,1629,812,17147,11416,9239,16622,11008,309263,173259,3,0,0,0,0,17603,Spike_200
185656,124491,446856,135,816,1,491,22051,11,1155522,674430,140937,3,4854,14862,14815,4138,10918,30,317956,236608,0,0,0,0,0,19395,Spike_506
537725,8569,450688,1424,606,1,7309,5778,8,1731523,68271,109832,97,990,17704,19020,14983,17687,4153,204800,155493,0,0,0,0,0,18315,Spike_66
336564,4502,435254,918,491,2,10747,2770,10,1676964,114465,114404,227,990,17075,19828,17091,17093,11037,406971,169856,0,0,0,0,4,17713,Spike_346
608585,9838,471760,544,659,15,11045,20079,32,1621177,114715,100538,87,777,17755,13233,5417,17414,1420,186159,155442,0,0,0,0,0,18285,Spike_72
491503,8790,457066,252,768,52,7947,19506,14,1669453,75209,94849,979,652,17294,12304,6075,17213,1432,313845,162148,1,1,0,0,0,17623,Spike_418
726039,15034,469899,375,787,18,8851,20384,18,1438911,136309,102872,44,824,17640,10026,8297,16531,1182,205267,177539,0,0,0,0,0,18129,Spike_92
10915,36637,360390,118,193,0,12,4088,34,1246858,910689,193082,65,20066,8,19274,17879,15696,181,341301,177885,0,0,0,0,0,19605,Spike_444
23654,8817,552615,221,1034,86,378,26962,50,1756258,187267,152438,9,18065,5762,20620,2768,9250,149062,173257,262546,0,0,0,0,0,23857,Spike_782
650730,9014,470203,790,576,3,3364,12971,6,1616543,77698,101044,46,996,17904,18459,8448,17923,2609,183332,163828,0,0,0,0,3,18486,Spike_64
534595,7368,465650,1219,662,7,12831,7340,2,1708801,74401,107899,67,931,17922,19116,13833,17930,5102,188340,172362,0,0,0,0,1,18597,Spike_52
683038,26298,459937,284,671,10,7784,19818,33,1250740,211147,121687,11,823,17043,10425,6870,15459,904,335684,188768,0,0,0,0,0,17542,Spike_341
